componentDesc,latitude,longitude
Foix (Castellet i la Gornal),41.255617318,1.651034658
Llosa del Cavall (Navès),42.099784969,1.58285827
Baells (Cercs),42.122014524,1.878559556
Sau (Vilanova de Sau),41.968624956,2.413554059
Darnius Boadella (Darnius) ,42.340588782,2.833225165
Pasteral (la Cellera de Ter),41.984436008,2.601414188
Sant Ponç (Clariana de Cardener),41.962942293,1.605613258
Gaià (el Catllar),41.195224935,1.327889195
Siurana (Cornudella de Montsant),41.249642381,0.913800784
Riudecanyes,41.134931354,0.960270444
Susqueda (Osor),41.979075237,2.527357457
