name,sensor,sensor_type,latitude,longitude
Embassament de Foix (Castellet i la Gornal),080581-002-ANA006,total_volume,41.255617318,1.651034658
Embassament de la Llosa del Cavall (Navès),081419-003-ANA005,total_volume,42.099784969,1.58285827
Embassament de la Baells (Cercs),082687-001-ANA015,total_volume,42.122014524,1.878559556
Embassament de Sau (Vilanova de Sau),083036-001-ANA023,total_volume,41.968624956,2.413554059
Embassament de Darnius Boadella (Darnius),170600-001-ANA021,total_volume,42.340588782,2.833225165
Embassament de Sant Ponç (Clariana de Cardener),250753-004-ANA010,total_volume,41.962942293,1.605613258
Embassament de Siurana (Cornudella de Montsant),430496-001-ANA001,total_volume,41.249642381,0.913800784
Embassament de Riudecanyes,430537-001-ANA006,total_volume,41.134931354,0.960270444
Embassament de Foix (Castellet i la Gornal),CALC000004,current_volume,41.255617318,1.651034658
Embassament de Darnius Boadella (Darnius),CALC000005,current_volume,42.340588782,2.833225165
Embassament de Foix (Castellet i la Gornal),CALC000041,percentage,41.255617318,1.651034658
Embassament de Darnius Boadella (Darnius),CALC000046,percentage,42.340588782,2.833225165
Embassament de Riudecanyes,CALC000108,current_volume,41.134931354,0.960270444
Embassament de Riudecanyes,CALC000120,percentage,41.134931354,0.960270444
Embassament de Siurana (Cornudella de Montsant),CALC000123,current_volume,41.249642381,0.913800784
Embassament de Siurana (Cornudella de Montsant),CALC000125,percentage,41.249642381,0.913800784
Embassament de Sau (Vilanova de Sau),CALC000145,current_volume,41.968624956,2.413554059
Embassament de Sau (Vilanova de Sau),CALC000152,percentage,41.968624956,2.413554059
Embassament de la Baells (Cercs),CALC000713,percentage,42.122014524,1.878559556
Embassament de la Llosa del Cavall (Navès),CALC000722,percentage,42.099784969,1.58285827
Embassament de Sant Ponç (Clariana de Cardener),CALC000735,percentage,41.962942293,1.605613258
Embassament de la Llosa del Cavall (Navès),CALC000698,current_volume,42.099784969,1.58285827
Embassament de la Baells (Cercs),CALC000697,current_volume,42.122014524,1.878559556
Embassament de Sant Ponç (Clariana de Cardener),CALC000699,current_volume,41.962942293,1.605613258
Embassament de Susqueda (Osor),171169-001-ANA009,total_volume,41.979075237,2.527357457
Embassament de Susqueda (Osor),CALC000168,percentage,41.979075237,2.527357457
Embassament de Susqueda (Osor),CALC000158,current_volume,41.979075237,2.527357457
