codi,altitud,coordenades.latitud,coordenades.longitud
CC,626.0,42.07398,2.20862
CD,849.0,42.37083,1.43277
CE,316.0,41.53109,1.80813
CG,1405.0,42.37717,2.41456
CI,852.0,42.25839,2.36429
CJ,566.5,42.21624,1.33132
CL,349.0,41.67399,1.76796
CP,690.0,42.13924,1.03893
CQ,594.0,41.99546,1.02569
CR,873.0,42.08032,1.9624
CT,823.0,42.39811,0.74362
CW,446.0,41.39241,1.09894
CY,816.0,41.87813,2.17873
C6,264.0,41.6566,0.95172
C7,427.0,41.66695,1.16234
C8,554.0,41.67555,1.29609
C9,240.0,40.71825,0.39988
DB,179.0,40.87287,0.71581
DF,28.6,41.97751,3.03543
DG,1971.4,42.39848,2.15517
DI,415.0,41.43292,1.62386
DJ,176.0,42.11653,2.78969
DK,2.0,41.14677,1.41846
DL,0.5,40.70719,0.83449
DN,150.0,41.96095,2.63108
DO,14.0,41.80857,3.03241
DP,1097.0,42.38605,1.8664
DQ,287.0,41.30728,1.36259
D1,404.0,41.28521,0.75383
D2,343.0,41.59252,1.915
D3,252.0,41.38197,1.93564
D4,24.0,42.27065,3.18165
D5,411.0,41.41864,2.12379
D6,196.0,42.43515,3.16622
D7,53.0,41.18499,0.59376
D8,515.0,40.95134,0.30565
D9,59.0,41.21553,1.52121
H1,333.0,41.58642,1.65306
J5,158.0,42.34215,2.83423
KE,426.0,41.96867,2.41404
KP,36.0,41.73894,2.69436
KX,156.0,41.61865,2.36114
MQ,402.0,41.92047,1.69584
MR,500.0,41.25079,0.9106
MV,845.0,42.13598,1.67295
M6,730.0,42.22189,2.2427
UA,93.0,40.9091,0.76943
UB,15.0,42.05398,3.06195
UE,4.0,42.02306,3.15719
UF,573.0,41.28832,1.90775
UG,3.0,41.29928,2.03787
UH,545.0,41.34171,1.48769
UI,1386.0,42.26477,1.76218
UJ,709.0,41.52879,1.3683
UK,161.0,41.27861,1.80479
UM,505.0,41.35991,0.66789
UN,171.0,41.87449,2.92694
UO,97.0,41.91461,2.82069
UP,81.0,41.51773,2.37702
UQ,460.0,41.61991,2.44532
US,24.0,40.55786,0.52329
UU,3.0,40.70776,0.6321
UW,0.0,40.62725,0.65922
UX,210.0,40.62652,0.37112
UY,576.0,41.87912,0.76103
U2,4.0,42.17716,3.0968
U3,257.0,41.37491,1.63032
U4,507.0,41.83094,1.84699
U6,29.0,41.08017,1.06661
U7,52.0,40.85936,0.50525
U9,62.0,40.76947,0.61635
VA,257.0,41.19645,0.51161
VB,32.0,41.06289,0.63517
VC,69.0,41.24415,0.43266
VD,429.0,41.68939,1.20381
VH,259.0,41.65814,0.39301
VK,286.0,41.68328,0.4487
VN,117.0,41.88244,2.74262
VO,785.0,42.08745,1.42792
VP,659.0,41.80483,1.53853
VQ,112.0,41.1713,1.16774
VS,2247.0,42.63835,0.77889
VU,421.0,41.63286,1.91718
VV,528.0,41.68129,2.02647
VX,1030.0,41.74761,2.30291
VZ,83.0,42.38443,3.00736
V1,238.0,41.78487,0.82939
V4,684.0,42.11477,2.21483
V5,774.0,42.03947,2.11993
V8,223.0,41.67279,0.87741
WA,443.0,41.87694,1.1541
WB,267.0,41.76036,0.67022
WD,382.0,41.08671,0.31884
WE,126.0,41.5444,2.30014
WG,301.0,41.80104,0.64804
WI,350.0,41.35741,0.4809
WJ,141.0,41.1223,0.72182
WK,268.0,41.81949,0.57768
WL,413.0,41.57236,1.0882
WM,1167.0,42.10736,1.8267
WN,916.0,41.59539,1.83751
WP,325.0,41.48518,1.69337
WQ,1572.0,42.0513,0.72952
WR,300.0,41.2163,0.79748
WS,953.0,41.84008,2.41877
WT,2.0,41.64707,2.75658
WU,42.0,41.45215,2.24757
WV,788.0,42.23414,1.87485
WW,278.0,41.79423,1.9368
WX,668.0,41.9178,0.88175
WZ,17.0,41.20187,1.63346
W1,2.0,42.24726,3.09021
W4,240.0,41.36619,1.72857
W5,490.0,42.07683,1.31489
W8,438.0,41.44237,1.15998
W9,461.0,42.14557,2.45451
XA,785.0,41.60257,1.4007
XB,584.0,41.4779,1.53529
XC,147.0,41.47892,1.97546
XD,687.0,41.32,0.8857
XE,5.0,41.10393,1.201
XF,258.0,41.56568,2.06952
XG,123.0,41.56734,2.22619
XH,679.0,42.40533,1.12993
XI,247.0,41.61817,0.87182
XJ,72.0,41.98223,2.80686
XK,1668.0,41.77362,2.43774
XL,8.0,41.34045,2.08022
XM,235.0,41.59522,0.73507
XN,89.0,41.46379,0.42765
XO,499.0,41.93497,2.23987
XP,349.0,41.06581,0.43006
XQ,473.0,42.16252,0.88814
XR,926.0,41.31481,0.98161
XS,162.0,41.86489,2.66446
XT,691.0,41.98766,1.51165
XU,148.0,41.28801,1.72195
XV,158.0,41.48311,2.07956
XX,291.0,41.68835,1.04476
XY,122.0,41.56509,0.55027
XZ,7.0,42.18139,3.06202
X1,359.0,41.15374,0.81953
X2,7.0,41.38943,2.18847
X3,370.0,41.74281,0.5358
X4,33.0,41.3839,2.16775
X5,1055.0,40.79705,0.31822
X6,366.0,41.92173,1.02901
X7,215.0,41.51909,0.55314
X8,79.0,41.37919,2.1054
X9,176.0,41.61265,2.16836
YA,1213.0,42.44013,1.93482
YB,433.0,42.18813,2.47097
YC,508.0,42.24388,0.96802
YD,283.0,41.51135,0.85617
YE,513.0,41.79409,1.305756
YF,43.0,41.02066,0.9345
YG,954.0,42.51881,1.24244
YH,747.0,41.71734,1.42403
YJ,170.0,41.58462,0.64172
YK,313.0,41.55361,1.99005
YL,170.0,41.1227,0.96951
YM,210.0,41.60922,2.29841
YN,1027.0,42.6966,0.80211
YO,155.0,41.43531,1.79324
YP,36.0,41.90708,3.16034
YQ,7.0,41.31926,2.137
YR,31.0,41.23575,1.73148
YS,32.0,42.3204,2.95659
Y4,1162.0,42.17426,1.42775
Y5,152.0,42.22793,2.86295
Y6,317.0,41.04343,0.74032
Y7,3.0,41.31725,2.16537
ZB,2451.0,42.51939,1.36597
ZC,2410.0,42.42117,2.24565
ZD,2478.0,42.32211,1.89716
ZE,2290.0,42.18903,1.53098
Z1,2266.0,42.64691,0.98486
Z2,2535.0,42.46602,0.88405
Z3,2230.0,42.46605,1.7785
Z5,2400.0,42.70029,1.27201
Z6,2228.0,42.77011,0.73198
Z7,2519.0,42.53412,1.05476
Z9,2143.0,42.29265,1.71498
